Name,DateTime,MonthYear,Year,Month,Outcome Type,Animal Type,Breed,Age upon Outcome,Age Group,Period
Unknown,2021-05-15 12:04:00,05-2021,2021,May,Transfer,Cat,Domestic Shorthair Mix,3 weeks,Puppy/Kitten,Recovery
Unknown,2021-05-15 12:04:00,05-2021,2021,May,Transfer,Cat,Domestic Shorthair Mix,3 weeks,Puppy/Kitten,Recovery
Unknown,2021-05-15 12:04:00,05-2021,2021,May,Transfer,Cat,Domestic Shorthair Mix,3 weeks,Puppy/Kitten,Recovery
Unknown,2021-05-15 12:05:00,05-2021,2021,May,Transfer,Cat,Domestic Shorthair Mix,3 weeks,Puppy/Kitten,Recovery
Unknown,2021-05-15 12:05:00,05-2021,2021,May,Transfer,Cat,Domestic Shorthair,4 weeks,Puppy/Kitten,Recovery
Unknown,2021-05-15 12:05:00,05-2021,2021,May,Transfer,Cat,Domestic Shorthair,1 month,Puppy/Kitten,Recovery
Ranger,2021-05-15 12:12:00,05-2021,2021,May,Return To Owner,Dog,German Shepherd,2 years,Adult,Recovery
Rusty,2021-05-15 12:30:00,05-2021,2021,May,Adoption,Dog,American Staffordshire Terrier Mix,7 years,Adult,Recovery
*Rosemary,2021-05-15 12:32:00,05-2021,2021,May,Adoption,Cat,Domestic Shorthair,2 months,Puppy/Kitten,Recovery
*Mackerel,2021-05-15 12:40:00,05-2021,2021,May,Adoption,Cat,Domestic Shorthair,2 months,Puppy/Kitten,Recovery
146 Grams,2021-05-15 12:47:00,05-2021,2021,May,Transfer,Cat,Domestic Shorthair,1 week,Puppy/Kitten,Recovery
158 Grams,2021-05-15 12:47:00,05-2021,2021,May,Transfer,Cat,Domestic Shorthair,1 week,Puppy/Kitten,Recovery
136 Grams,2021-05-15 12:47:00,05-2021,2021,May,Transfer,Cat,Domestic Shorthair,1 week,Puppy/Kitten,Recovery
